transaction,category
lybrate,Health
  shopclues  ,Shopping
grofERs,Groceries
the burger club*,Food & Dining
spotify india,Entertainment
hyiercity,Groceries
amazon,Shopping
eBaY,Shopping
miraj cinemas.com,Entertainment
pvr cinemas,Entertainment
GAP,Shopping
chevuon,Fuel
natures basket.com,Groceries
mega abs,Transportation
vodafone idea store 432,Utilities
LYBRATE,Health
walgreens*,Health
walmart,Shopping
zee5 store 71,Entertainment
apollo ulinic,Health
cafe coffee day-store,Food & Dining
pvr,Entertainment
Gap,Shopping
MOTHErhooD,Health
sonyliv store 286,Entertainment
  reliance petroleum  ,Fuel
TACO BELL,Food & Dining
hpcl 834 main st,Fuel
you broadband,Utilities
health*,Health
taco bell #4741,Food & Dining
kstc,Transportation
fabindia*,Shopping
kochi metro,Transportation
reliknce petrol,Fuel
jio cinema store 195,Entertainment
indian oil-store,Fuel
SS,Shopping
best-store,Transportation
udaan/shop,Shopping
Chaayos,Food & Dining
taRget,Shopping
transit 778 main st,Transportation
JIO BP,Fuel
reliance petrol,Fuel
ccd #6056,Food & Dining
srl diagnostcs,Health
mobikwik/shop,Transportation
  nykaa fashion  ,Shopping
VI,Utilities
chevron 948 main st,Fuel
jabong store 67,Shopping
  walgreens  ,Health
MG,Utilities
cesc*,Utilities
MObiKWik,Transportation
  diner  ,Food & Dining
marathon,Fuel
sptify india,Entertainment
  transit  ,Transportation
Aha,Entertainment
Samsung Store,Shopping
aPpLe SToRe InDIA,Shopping
Inox,Entertainment
fare,Transportation
disny,Entertainment
ccd,Food & Dining
craftsvilla 95 main st,Shopping
Raymond,Shopping
pvr,Entertainment
kokilabee,Health
ovenstoy,Food & Dining
dEnTAL,Health
apsrtc*,Transportation
nextra,Utilities
comcast/shop,Utilities
CP,Food & Dining
reliance fresh store 414,Groceries
1mg 293 main st,Health
essar oil*,Fuel
metro cash,Groceries
auto gas/shop,Fuel
RB,Transportation
  gas station  ,Fuel
subway*,Food & Dining
medical #5452,Health
hobstar,Entertainment
essar iil,Fuel
  essar oil  ,Fuel
shell indna,Fuel
tata cliq/shop,Shopping
reliance petroleum store 357,Fuel
gap*,Shopping
Auto Gas,Fuel
CaRE,Health
burger qing india,Food & Dining
smencers,Groceries
clinic,Health
essar oil.com,Fuel
supermarket.com,Groceries
dmart ready,Groceries
VS,Shopping
  sunoco  ,Fuel
super bazar,Groceries
rebel foods/shop,Food & Dining
BP,Fuel
dmrc*,Transportation
barista.com,Food & Dining
apollo clinic #7448,Health
maq fashion,Shopping
sn nxt,Entertainment
alt balaji store 427,Entertainment
costco store 86,Groceries
iocl,Fuel
trader joes store 189,Groceries
SWIGGY,Food & Dining
medical-store,Health
star bazaar #1630,Groceries
  sahakari bhandar  ,Groceries
reliance digital store 170,Shopping
apollo clinic.com,Health
24 SEVen,Groceries
torrent power 667 main st,Utilities
Mall,Shopping
WATER,Utilities
zepto-store,Groceries
PD,Food & Dining
ptpcl,Utilities
walmart #9508,Shopping
sun nxt.com,Entertainment
SRl diagNosTIcS,Health
bigbsket,Groceries
DTC,Transportation
fortis hospital-store,Health
fortis/shop,Health
hinduja hospital,Health
indiamart,Shopping
brista,Food & Dining
water.com,Utilities
bmtc/shop,Transportation
red bus store 322,Transportation
Faasos,Food & Dining
ovenstory,Food & Dining
ABhIBus,Transportation
apple stove india,Shopping
lilavati-store,Health
paytm movies 935 main st,Entertainment
  bata  ,Shopping
bharat petroleum 889 main st,Fuel
dishtv-store,Utilities
ola cabs store 183,Transportation
fuel-store,Fuel
fb india,Shopping
indian railways-store,Transportation
lybrate,Health
KOCHI METRO,Transportation
tatacliq/shop,Shopping
kRogeR,Groceries
tneb.com,Utilities
dmart ready,Groceries
mumbai metro-store,Transportation
craftsviula,Shopping
Igl,Utilities
paytm movies #4999,Entertainment
dtc,Transportation
mi store/shop,Shopping
  kfc india  ,Food & Dining
  freshmenu  ,Food & Dining
  ovenstory  ,Food & Dining
  nextra  ,Utilities
reliance petroleum,Fuel
red bus 712 main st,Transportation
SAHAKARI BHANDAR,Groceries
abhibus 735 main st,Transportation
eros now.com,Entertainment
liberty*,Shopping
flipkare,Shopping
taret,Groceries
hulu store 459,Entertainment
games the shop.com,Entertainment
power/shop,Utilities
bangalore metro #498,Transportation
  book my show  ,Entertainment
market,Groceries
altbalaji,Entertainment
cabme,Utilities
aiims store 462,Health
dmart-store,Groceries
puma.com,Shopping
mahanagar gas 345 main st,Utilities
masathon,Fuel
ovenstory 218 main st,Food & Dining
reliance petroaeum,Fuel
PayTm movieS,Entertainment
restaurant,Food & Dining
erosnow/shop,Entertainment
redbus/shop,Transportation
bus*,Transportation
bsnl 826 main st,Utilities
spencers.com,Groceries
Parking,Transportation
the burger club,Food & Dining
reliance jio-store,Utilities
practo,Health
MORE MEGASTORE,Groceries
  blusmart  ,Transportation
act fibernet 713 main st,Utilities
JIO MART,Groceries
naptol,Shopping
jiryani blues,Food & Dining
Dtc,Transportation
HINDUSTAN PETROLEUM,Fuel
zepto #689,Groceries
shel india,Fuel
Uber,Transportation
namma metro store 317,Transportation
WALMART,Shopping
IntErNET,Utilities
KOCHI METRO,Transportation
box8 #6305,Food & Dining
parking-store,Transportation
jio bp,Fuel
udupi/shop,Food & Dining
DUnkin,Food & Dining
behrouz biryani*,Food & Dining
  carnival cinemas  ,Entertainment
macys,Shopping
Gasoline,Fuel
netoeds,Health
nayara energy-store,Fuel
iocl.com,Fuel
mx player store 170,Entertainment
red bus 358 main st,Transportation
kolkata metro.com,Transportation
NARAyana HeAlTh,Health
jiocinema,Entertainment
airtel.com,Utilities
SRL DIAGNOsTiCs,Health
jiobp,Fuel
pizza/shop,Food & Dining
Reliance Petrol,Fuel
aha #7754,Entertainment
REBEL FOODS,Food & Dining
Bses,Utilities
biryani blues,Food & Dining
MI store,Shopping
jio saavc,Entertainment
pharmacy-store,Health
MAX HOSPITAL,Health
fuel,Fuel
bpcl,Fuel
dishtv #8365,Utilities
chennai metro #7359,Transportation
easyday*,Groceries
paytm movies #9355,Entertainment
  publix  ,Groceries
fresh menu.com,Food & Dining
  vijay sales  ,Shopping
westside store 401,Shopping
phalmeasy,Health
miraj cinemas store 26,Entertainment
hindustan petroleum.com,Fuel
apNa bAzAAr,Groceries
shell-store,Fuel
  bikanervala  ,Food & Dining
MOTI MAHAL,Food & Dining
naravana bhavan,Food & Dining
pizza*,Food & Dining
adidas #6443,Shopping
TACO BELL INDIA,Food & Dining
exXoN,Fuel
bus/shop,Transportation
ReliAnCE SmaRT,Groceries
poorvika-store,Shopping
TJ,Groceries
Satyam Cinemas,Entertainment
utilities*,Utilities
zeto,Groceries
xbox,Entertainment
Haldirams,Food & Dining
fresh,Groceries
the burger club.com,Food & Dining
taco bell india,Food & Dining
Practo,Health
KOCHI METRO,Transportation
bigbasket store 406,Groceries
paytm mall*,Shopping
irani cafe-store,Food & Dining
apollo clinic-store,Health
spectrp,Utilities
irctc/shop,Transportation
spotify store 392,Entertainment
jjomart,Groceries
medplus store 17,Health
AcT FiBErNET,Utilities
ccd,Food & Dining
cabje,Utilities
WalMarT,Shopping
gamestheshop*,Entertainment
behrouz biryani/shop,Food & Dining
bOx8,Food & Dining
super bazar 941 main st,Groceries
doctor*,Health
kfc-store,Food & Dining
reliance digital,Shopping
petrol*,Fuel
rainbow hospital*,Health
games/shop,Entertainment
gaS CoMpANy,Utilities
entertainment.com,Entertainment
Target,Groceries
metro #7646,Transportation
easyday,Groceries
nayara energy/shop,Fuel
  dominos india  ,Food & Dining
mx player 827 main st,Entertainment
restaurant*,Food & Dining
Jio Bp,Fuel
Mega Cabs,Transportation
breach candy*,Health
apollo pharmacy*,Health
LILAVATI,Health
medicover.com,Health
care.com,Health
FLIPKART SUPERMART,Groceries
cng-store,Fuel
act fibernet,Utilities
oneplus store #9176,Shopping
amazon prime.com,Entertainment
vodafone idea,Utilities
pharmeasy.com,Health
CINEpOlis,Entertainment
utilitis,Utilities
Dishtv,Utilities
  wockhardt  ,Health
bIg BAskEt,Groceries
haldiram/shop,Food & Dining
bangalore metro,Transportation
LilAvati,Health
biryani blues #9808,Food & Dining
Shell,Fuel
CC,Entertainment
bmtc,Transportation
medical #9382,Health
  torrent power  ,Utilities
KFC,Food & Dining
amusement 618 main st,Entertainment
internet,Utilities
reliance petroleum store 224,Fuel
bharat petroleum.com,Fuel
bp,Fuel
moil,Fuel
nayara energy 664 main st,Fuel
Taco Bell,Food & Dining
Chevron,Fuel
amazo prime,Entertainment
practo,Health
uduli,Food & Dining
auto gas/shop,Fuel
SPAR,Groceries
dMart,Groceries
aple store,Shopping
lealth,Health
care/shop,Health
sony liv.com,Entertainment
  nilgiri's  ,Groceries
udupi.com,Food & Dining
  bsnl  ,Utilities
pRAcTo,Health
DIsNeY,Entertainment
adidas store 406,Shopping
Bigbasket,Groceries
Lybrate,Health
UbeR,Transportation
  taco bell india  ,Food & Dining
Central,Shopping
ola,Transportation
rewiance fresh,Groceries
tneb #4828,Utilities
  blusmart  ,Transportation
igl-store,Utilities
ESSAR OIL,Fuel
  red bus  ,Transportation
  best  ,Transportation
bpcl/shop,Fuel
mcdonals,Food & Dining
haldirams,Food & Dining
DUNKIN,Food & Dining
hpcl,Fuel
apollo hospitals*,Health
  myupchar  ,Health
LyBRate,Health
Gas Company,Utilities
BUS,Transportation
apple store india.com,Shopping
samsung store,Shopping
CM,Transportation
Cafe,Food & Dining
meru cabs store 247,Transportation
subway india store 426,Food & Dining
ryte aid,Health
woodland.com,Shopping
cvs #8700,Health
essar oil #1983,Fuel
STOre,Shopping
medicover #8221,Health
red bus store 425,Transportation
pharmacy 737 main st,Health
electric,Utilities
h&m/shop,Shopping
act broadband,Utilities
shell india,Fuel
gasoine,Fuel
transit,Transportation
erosnow 990 main st,Entertainment
  nordstrom  ,Shopping
paytm mcvies,Entertainment
hathway #3822,Utilities
decathlon india,Shopping
gasoline #8592,Fuel
retail*,Shopping
  msrtc  ,Transportation
elsar oil,Fuel
  westside  ,Shopping
chai point,Food & Dining
Paytm Movies,Entertainment
cracto,Health
indraprastha gas,Utilities
Hpcl,Fuel
hindustan petroleum store 266,Fuel
THE BURGER CLUB,Food & Dining
cafe,Food & Dining
delhi jal board*,Utilities
star bazaar.com,Groceries
indian railways-store,Transportation
  gaana  ,Entertainment
petrol/shop,Fuel
Indiamart,Shopping
moti mahal 16 main st,Food & Dining
biryani blues,Food & Dining
oven story/shop,Food & Dining
cloudnine*,Health
cng/shop,Fuel
  essar oil  ,Fuel
  fresh menu  ,Food & Dining
publix store 405,Groceries
Bikanervala,Food & Dining
WOw MOMO,Food & Dining
whole foods*,Groceries
dih tv,Utilities
energy-store,Utilities
  igl  ,Utilities
diesel,Fuel
chevron 901 main st,Fuel
ChEvrOn,Fuel
panera,Food & Dining
shoppers stop,Shopping
toRRent pOwer,Utilities
zifestyle,Shopping
spencers,Groceries
kochi metro #2997,Transportation
practo,Health
apollo clinic-store,Health
vodafne,Utilities
craftsvilla #948,Shopping
inwtamart,Groceries
hpcl,Fuel
gasoline,Fuel
bp,Fuel
playstation,Entertainment
msedyl,Utilities
apple music india.com,Entertainment
paytm mll,Shopping
shell india 378 main st,Fuel
Msrtc,Transportation
spencer's store 314,Groceries
paytm mall #7203,Shopping
publix-store,Groceries
more megastore-store,Groceries
walgreens,Health
exxon/shop,Fuel
rebel foods #5546,Food & Dining
limeroad 993 main st,Shopping
namma metro,Transportation
dish tv #132,Utilities
dart,Groceries
att 282 main st,Utilities
transport/shop,Transportation
jio saavn #1780,Entertainment
Petrol,Fuel
dmart,Groceries
parking 758 main st,Transportation
amazOn,Shopping
tata dower,Utilities
Breach Candy,Health
KFC,Food & Dining
cvs 206 main st,Health
wegmans #6302,Groceries
restaurant*,Food & Dining
abhibus,Transportation
  croma  ,Shopping
jio #6063,Utilities
PrImE ViDeO iNDiA,Entertainment
saoyam cinemas,Entertainment
swiggy store 25,Food & Dining
essar oil,Fuel
  behrouz biryani  ,Food & Dining
  publix  ,Groceries
fuEl,Fuel
coMCASt,Utilities
Mfine,Health
Zomato,Food & Dining
croma.com,Shopping
dominos store 47,Food & Dining
rediance trends,Shopping
Miraj Cinemas,Entertainment
gasoline*,Fuel
transit/shop,Transportation
D2H,Utilities
  sun direct  ,Utilities
GAs coMPaNY,Utilities
DUNKIN,Food & Dining
jio,Utilities
kolkfta metro,Transportation
cng store 326,Fuel
JASLOK,Health
haldiram,Food & Dining
indian railways/shop,Transportation
narayana healzh,Health
paytm movies #3279,Entertainment
iocl/shop,Fuel
astyr,Health
pizza store 201,Food & Dining
Iocl,Fuel
dmrc/shop,Transportation
sUn NXT,Entertainment
tikona,Utilities
nextra 633 main st,Utilities
gas company 793 main st,Utilities
VOOT,Entertainment
reliance jio.com,Utilities
tatacliq,Shopping
bp #184,Fuel
bmtc.com,Transportation
  flipkart supermart  ,Groceries
nilgiri's,Groceries
sahakari bhandar 471 main st,Groceries
zee5-store,Entertainment
manipal hospital,Health
max fashion store 22,Shopping
adani power store 291,Utilities
Wendys,Food & Dining
redbus/shop,Transportation
Kochi Metro,Transportation
apna bazaar,Groceries
tikona,Utilities
faasos/shop,Food & Dining
lilavati 589 main st,Health
petrol,Fuel
MOBIKwik,Transportation
jiomarn,Groceries
eosnow,Entertainment
UI,Transportation
dominos india.com,Food & Dining
sunoco.com,Fuel
Gaana,Entertainment
  naaptol  ,Shopping
narayana health 618 main st,Health
perol,Fuel
red bus store 384,Transportation
nature's basket*,Groceries
haqhway,Utilities
sun direct/shop,Utilities
petrol-store,Fuel
frexhmenu,Food & Dining
FLIPKART,Shopping
sun nxt,Entertainment
Delhi Jal Board,Utilities
att.com,Utilities
SNAPDEAL,Shopping
gasoline.com,Fuel
wow momo 511 main st,Food & Dining
big basket*,Groceries
one plus,Shopping
apotlo pharmacy,Health
wegmans #5756,Groceries
igl*,Utilities
moti mahal-store,Food & Dining
indrapradtha gas,Utilities
target store 37,Shopping
netmeds.com,Health
msedcl.com,Utilities
att-store,Utilities
motherhood/shop,Health
WOCKHARDT,Health
care,Health
msedcl 949 main st,Utilities
punjabi dhaba.com,Food & Dining
oostco,Groceries
bookmyshow,Entertainment
shell-store,Fuel
cloudnine*,Health
VI,Utilities
STARBUCKS,Food & Dining
telecom,Utilities
Rail,Transportation
telekom,Utilities
BIGBAZAAR,Groceries
bOOK My shOW,Entertainment
auto gas,Fuel
faasos/shop,Food & Dining
inox 882 main st,Entertainment
aster*,Health
chevron #9228,Fuel
dUnkin,Food & Dining
shoppers stop-store,Shopping
snapdeal store 90,Shopping
SAMSUNG STORE,Shopping
kims hospital*,Health
Ccd,Food & Dining
Bp,Fuel
reliance petrol #5922,Fuel
d mart,Groceries
HUNGAMA,Entertainment
amazon #3375,Shopping
msrtc store 462,Transportation
Bses,Utilities
indiamart,Shopping
theater/shop,Entertainment
best store 347,Transportation
2S,Groceries
erosnow.com,Entertainment
cafe,Food & Dining
bharat petroleum 9 main st,Fuel
sug nxt,Entertainment
metro cash #2491,Groceries
paytm bus-store,Transportation
kokilaben.com,Health
sunoco,Fuel
store/shop,Shopping
  msedcl  ,Utilities
uber 334 main st,Transportation
bata*,Shopping
rainbow hospital,Health
kolkata metro/shop,Transportation
oneeg,Health
HoMESHOP18,Shopping
chaayos 533 main st,Food & Dining
Kolkata Metro,Transportation
mi store.com,Shopping
limeroad store 156,Shopping
  petrol  ,Fuel
D MART,Groceries
Xbox,Entertainment
mtnl 805 main st,Utilities
poorvika.com,Shopping
reliance petrol,Fuel
Walmart,Shopping
bpcl/shop,Fuel
paytm bus #4053,Transportation
dmart ready,Groceries
ola cabs,Transportation
bookmyshow store 324,Entertainment
zara.com,Shopping
gamestheshop/shop,Entertainment
netflix*,Entertainment
panera.com,Food & Dining
more store 162,Groceries
  phone  ,Utilities
  hospital  ,Health
spencers store 301,Groceries
natures basket*,Groceries
hndustan petroleum,Fuel
nordstrom store 295,Shopping
homeshop18 368 main st,Shopping
delhi jal board store 138,Utilities
Kolkata Metro,Transportation
DI,Food & Dining
SWIGGY,Food & Dining
truemeds #937,Health
best,Transportation
altbalaji 515 main st,Entertainment
  kims hospital  ,Health
target,Shopping
box8-store,Food & Dining
Walgreens,Health
spencers,Groceries
practo store 277,Health
MM,Transportation
DLP,Health
TwENTy FOuR sEVEn,Groceries
lybrate-store,Health
mtnl #2054,Utilities
diesel/shop,Fuel
  hathway  ,Utilities
fortis*,Health
disney hotstar 452 main st,Entertainment
spencer's store 114,Groceries
mstc,Transportation
jiomart,Groceries
apollo pharmacy/shop,Health
mobil #4388,Fuel
aldi.com,Groceries
grofers/shop,Groceries
reliance petroleum,Fuel
CENTRAL,Shopping
TRUEMEDS,Health
doctor/shop,Health
reebok store 146,Shopping
apple music india #6705,Entertainment
nextsa,Utilities
cvs/shop,Health
jio bp,Fuel
paytm bus-store,Transportation
apsrtc store 12,Transportation
CNG,Fuel
apna bazaar store 106,Groceries
starbucks.com,Food & Dining
max fashion,Shopping
bikanervala-store,Food & Dining
trader joes-store,Groceries
gail,Utilities
AC,Health
vodafone dea,Utilities
comcast-store,Utilities
vodafone idea 53 main st,Utilities
hyderabad metro,Transportation
doctr,Health
24 seven-store,Groceries
SN,Entertainment
restaurant-store,Food & Dining
  health  ,Health
hulu*,Entertainment
bata*,Shopping
raymond.com,Shopping
pantaloons/shop,Shopping
shell-store,Fuel
bsnl 503 main st,Utilities
petrol ump,Fuel
spencer's-store,Groceries
Shoppers Stop,Shopping
apollo pharmacy-store,Health
Internet,Utilities
rebel foods*,Food & Dining
fare/shop,Transportation
med plus store 391,Health
tikona store 48,Utilities
mumbai metro,Transportation
jiocinema,Entertainment
faasos 37 main st,Food & Dining
MG,Utilities
medicover*,Health
  airtel digital tv  ,Utilities
fortis.com,Health
you broadband 677 main st,Utilities
taxi,Transportation
internet*,Utilities
kims hospital/shop,Health
ubur india,Transportation
cOmCAsT,Utilities
medplus,Health
BURgER KinG InDia,Food & Dining
bp-store,Fuel
health.com,Health
rapido 512 main st,Transportation
taco bell india store 499,Food & Dining
DENTAL,Health
Cafe cOffEE dAY,Food & Dining
theater*,Entertainment
pracko,Health
essar oil*,Fuel
box8*,Food & Dining
jio cinema/shop,Entertainment
wockhardt/shop,Health
practo-store,Health
essar oil-store,Fuel
vijay salos,Shopping
  blu smart  ,Transportation
fARe,Transportation
SUBWAY INDIA,Food & Dining
  idea  ,Utilities
  wockhardt  ,Health
med plus #1178,Health
kochi mitro,Transportation
trader joes store 326,Groceries
  shell  ,Fuel
Moti Mahal,Food & Dining
exon,Fuel
BURGER KiNG INDIA,Food & Dining
you broadband/shop,Utilities
reliance digital/shop,Shopping
airtel*,Utilities
jiomart,Groceries
big basket,Groceries
adabi power,Utilities
d mart.com,Groceries
REDBUS,Transportation
phone-store,Utilities
Mi Store,Shopping
care,Health
  bp  ,Fuel
lyft*,Transportation
onemg*,Health
mstc,Transportation
practo,Health
RA,Health
Mcdonalds,Food & Dining
chevron,Fuel
nilgiri's/shop,Groceries
  max fashion  ,Shopping
chevron.com,Fuel
  punjabi dhaba  ,Food & Dining
jiocinema/shop,Entertainment
ovenstory/shop,Food & Dining
one plus,Shopping
ACT BROADBAND,Utilities
more megastore 461 main st,Groceries
iocl*,Fuel
restaurant #7670,Food & Dining
jio*,Utilities
woodland*,Shopping
HPCL,Fuel
dmrc.com,Transportation
homeshop18,Shopping
reliance petroleum*,Fuel
eiesel,Fuel
aPSrTc,Transportation
PHaRmACY,Health
irczc,Transportation
gail,Utilities
aha 333 main st,Entertainment
mahanagar gas store 213,Utilities
aldi.com,Groceries
Voot,Entertainment
verizon/shop,Utilities
redbus/shop,Transportation
mahanagar gas store 430,Utilities
croma 729 main st,Shopping
sony liv,Entertainment
KFC INDIA,Food & Dining
spotify-store,Entertainment
pvr-store,Entertainment
fltpkart,Shopping
subay,Food & Dining
MC,Groceries
kfc india,Food & Dining
APOLLO PHARMACY,Health
IOCL,Fuel
shell india,Fuel
elecgric,Utilities
  naaptol  ,Shopping
youtube music 406 main st,Entertainment
cvs,Health
  petrol  ,Fuel
ksrtc-store,Transportation
meru cabs #4328,Transportation
tneb,Utilities
hospital-store,Health
JIO BP,Fuel
walmart #1203,Groceries
Transit,Transportation
kroger*,Groceries
whole foods,Groceries
praco,Health
aTT,Utilities
clinic.com,Health
medplus 806 main st,Health
mobikwik,Transportation
  gas company  ,Utilities
hospital*,Health
westside,Shopping
Carnival Cinemas,Entertainment
airtel digital tv.com,Utilities
doctor,Health
dwart,Groceries
shoppers stop-store,Shopping
bmtc #253,Transportation
decathlon india 765 main st,Shopping
apple music india.com,Entertainment
kfc store 1,Food & Dining
mybpchar,Health
Amusement,Entertainment
bmtc #9308,Transportation
  tata power  ,Utilities
naaptol-store,Shopping
udan,Shopping
ksrtc.com,Transportation
hathway,Utilities
ksotc,Transportation
box8 592 main st,Food & Dining
TaTaCLIQ,Shopping
phone,Utilities
nykaa fashion-store,Shopping
flikart supermart,Groceries
cng,Fuel
hindustan petroleum,Fuel
Fare,Transportation
EN,Entertainment
MSRTC,Transportation
mega cabs #4641,Transportation
bharat petroleum,Fuel
  dr lal pathlabs  ,Health
udaan 479 main st,Shopping
disney,Entertainment
bsrtc,Transportation
wlmart,Shopping
  auto gas  ,Fuel
eros now-store,Entertainment
Red Bus,Transportation
FH,Health
ovenstory store 370,Food & Dining
vijay sales,Shopping
water,Utilities
electric/shop,Utilities
indraprastha gas-store,Utilities
SPECTRA,Utilities
transport*,Transportation
nordstrom/shop,Shopping
burger king india.com,Food & Dining
PRIME VIDEO INDIA,Entertainment
adani power 560 main st,Utilities
adani power*,Utilities
behrouz biryani/shop,Food & Dining
bpcl 852 main st,Fuel
Verizon,Utilities
Croma,Shopping
taco bell india #5078,Food & Dining
shoppes stop,Shopping
idea*,Utilities
auto gas*,Fuel
zepto.com,Groceries
iocl-store,Fuel
spencer's.com,Groceries
Mahanagar Gas,Utilities
amusement store 41,Entertainment
BSNL,Utilities
ADT,Utilities
freshmenu-store,Food & Dining
Pvr,Entertainment
chevron #6974,Fuel
pizza hut india*,Food & Dining
udupi store 320,Food & Dining
jabong,Shopping
poorvika*,Shopping
petrol pump,Fuel
bistro,Food & Dining
cinema 254 main st,Entertainment
Fuel,Fuel
medical #5369,Health
Lybrate,Health
erosnow #7286,Entertainment
  instamart  ,Groceries
You Broadband,Utilities
best,Transportation
bpcl.com,Fuel
poorvika 125 main st,Shopping
Cafe Coffee Day,Food & Dining
cafe store 447,Food & Dining
auto gas-store,Fuel
nextra,Utilities
kroger*,Groceries
chai point-store,Food & Dining
  fuel  ,Fuel
gas station-store,Fuel
grofers,Groceries
NykaA FASHIoN,Shopping
theater*,Entertainment
paRKING,Transportation
RESTAURANT,Food & Dining
myuphar,Health
sonyliv,Entertainment
pvr,Entertainment
fresh menu store 488,Food & Dining
Apollo hospItALs,Health
diesel-store,Fuel
raymond,Shopping
  shoppers stop  ,Shopping
KRoGEr,Groceries
macys-store,Shopping
sun direct-store,Utilities
  box8  ,Food & Dining
altbalaji,Entertainment
reebok*,Shopping
petRol,Fuel
kroger store 337,Groceries
mumbai metro,Transportation
medical/shop,Health
mega cabs,Transportation
tata cliq/shop,Shopping
cvs-store,Health
SHeLl,Fuel
  fortis  ,Health
petrol,Fuel
d mart*,Groceries
CHEVRON,Fuel
msrtc*,Transportation
medical*,Health
inox 689 main st,Entertainment
stoe,Shopping
pajking,Transportation
airtel,Utilities
chennai metro-store,Transportation
hindstan petroleum,Fuel
BEHROUZ BIRYANI,Food & Dining
aldi.com,Groceries
koovs 90 main st,Shopping
  haldirams  ,Food & Dining
costco/shop,Groceries
practo*,Health
msrtc-store,Transportation
SAFEWAY,Groceries
NB,Groceries
nordstrom*,Shopping
metro-store,Transportation
fortis hospital/shop,Health
amazon/shop,Shopping
more,Groceries
ajto gas,Fuel
Ola,Transportation
namma metro-store,Transportation
trader joes,Groceries
Moti Mahal,Food & Dining
marathon store 455,Fuel
fortis #8183,Health
ovenstory store 232,Food & Dining
neteds,Health
big bazaar,Groceries
bistro,Food & Dining
tata cliq #925,Shopping
woodland-store,Shopping
mega cabs*,Transportation
apollo pharmacy.com,Health
nature'srbasket,Groceries
altbalaji store 68,Entertainment
bp 342 main st,Fuel
mhx healthcare,Health
reliance petrol/shop,Fuel
CLINIC,Health
bertbuy,Shopping
zepto #9453,Groceries
  whole foods  ,Groceries
big bazaar.com,Groceries
mfine.com,Health
DISNEY+ HOTSTAR,Entertainment
  cng  ,Fuel
Zara,Shopping
more megastore*,Groceries
  pspcl  ,Utilities
auto gas,Fuel
mcdonalds.com,Food & Dining
maLl,Shopping
tata power 753 main st,Utilities
you broadband*,Utilities
cafe coffee day store 125,Food & Dining
IO,Fuel
jiocinema-store,Entertainment
miraj cineas,Entertainment
indiaart,Shopping
iNternEt,Utilities
decathon india,Shopping
jio mart,Groceries
yashoda,Health
SB,Food & Dining
playstation,Entertainment
jiocinema #6705,Entertainment
shop 268 main st,Shopping
BEsT,Transportation
craftsvilla 582 main st,Shopping
wockhardt #764,Health
AHA,Entertainment
GAIL,Utilities
SUBWAY INDIA,Food & Dining
piza,Food & Dining
adni power,Utilities
shopcgues,Shopping
taco bell #3741,Food & Dining
rail.com,Transportation
lyft #4267,Transportation
fuel,Fuel
OvEnstORy,Food & Dining
H&M,Shopping
apollo hospitals,Health
Igl,Utilities
paytm movies,Entertainment
ovn story,Food & Dining
hpcl*,Fuel
pblix,Groceries
apollo hospitals.com,Health
Panera,Food & Dining
BLINKIT,Groceries
ksrtc-store,Transportation
subway india/shop,Food & Dining
BmtC,Transportation
kfc indea,Food & Dining
bses store 125,Utilities
  manipal hospital  ,Health
instamart,Groceries
ksrtc*,Transportation
Cloudnine,Health
alt baluji,Entertainment
hospital 949 main st,Health
diesel/shop,Fuel
jabong store 136,Shopping
ola cabs.com,Transportation
thyrocre,Health
pspcl 96 main st,Utilities
CLOUDNINE,Health
spar #216,Groceries
hungama*,Entertainment
cloudnine #362,Health
super bazar/shop,Groceries
JIO BP,Fuel
spar/shop,Groceries
mall/shop,Shopping
nilgiri's/shop,Groceries
vi,Utilities
  burger  ,Food & Dining
mUmBAI METRo,Transportation
eros now*,Entertainment
reliance petroleum,Fuel
indian oil,Fuel
fuel,Fuel
rapido-store,Transportation
indiamart/shop,Shopping
jaslok #9505,Health
  aiims  ,Health
movie/shop,Entertainment
irctc #5651,Transportation
hoichoi,Entertainment
medicover*,Health
myuphar,Health
vijay sales store 430,Shopping
comcast*,Utilities
natures baskea,Groceries
GAMES,Entertainment
market,Groceries
apple store india/shop,Shopping
pharmeasy,Health
AG,Fuel
wynk music #6362,Entertainment
hlectric,Utilities
games the shop #896,Entertainment
TATASKY,Utilities
TELECOM,Utilities
NOrdstrOm,Shopping
EXXON,Fuel
walmart-store,Shopping
dining #1559,Food & Dining
bpcl,Fuel
dier,Food & Dining
DEcaThLON indIa,Shopping
cvs store 123,Health
nster,Health
kochi metro #2524,Transportation
airtel digital tv,Utilities
Dish Tv,Utilities
apollo pharmacy 740 main st,Health
subway.com,Food & Dining
homeshop18,Shopping
sunoco,Fuel
shopper's stop #8967,Shopping
msroc,Transportation
iocl,Fuel
AMI,Entertainment
Adani Power,Utilities
zara-store,Shopping
uber.com,Transportation
concert,Entertainment
cng #439,Fuel
clinic,Health
Nilgiri'S,Groceries
Moti MaHal,Food & Dining
target.com,Shopping
MOBIL,Fuel
medplus,Health
max healthcare*,Health
  bp  ,Fuel
bseS,Utilities
Chevron,Fuel
Youtube Music,Entertainment
decathlon jndia,Shopping
apOLLO pHaRmaCY,Health
NILGIRI'S,Groceries
blu smart-store,Transportation
NAYARA ENERGY,Fuel
bmtc.com,Transportation
cafe 938 main st,Food & Dining
shopclues.com,Shopping
restaurant,Food & Dining
store,Shopping
